	reviewText	overall
71	Super fast install in Windows 7 Includes a small book called Legal Companion It just gives you a few pages on each topic for a total of 200 pages Too	5.0
72	I wanted some quick and easy software to create a legal will for myself you know just in case always a good idea they say and this software does just	4.0
73	I have Nolo products I bought in the past and I have used Quicken since their first version I got it from the original owners of the company in person	2.0
74	This is the third version of Quicken Willmaker Plus I have used I liked the 2009 version Unfortunately starting with the 2010 version Nolo the publisher of self help legal	3.0
75	I have to say that this software is great to save yourself a lot of legal fees From what I gathered from using it I would have to say that	4.0
76	This product is quite easy to install and simple to use but doesnt have much explanation about the laws of particular states and the different options available The forms are	3.0
77	If youre like us you thought about getting something like this for a long time but since youre in good health and all is well you put it off Approaching	5.0
78	There are multiple versions of Quicken Willmaker 2011 This version a data hook product link linked class a link normal href Quicken WillMaker Plus 2011 dp 1413313701 ref cm cr	5.0
79	Quickens WillMaker Plus 2011 is simple to install and comes with three free bonuses Your Little Legal Companion booklet that covers topics from Going to College to Planning Your Estate	4.0
80	If you are looking at this product then it is probably for you If you had a large estate that was complicated you would have already consulted a lawyer Being	5.0
81	This program is remarkable it really is Included are lengthy exhaustive lists dozens of do it yourself legal documents with versions valid in every state except Louisiana Simple will living	5.0
82	This Windows program is a hodge podge amalgamation of a variety of eBooks PDFs and help guides without integration and coordination Confusion was the only consistent theme in this application	2.0
83	As an owner of a small business there are often times when I need a simple contract or legal document drafted up Time and resources are valuable Not everyone can	4.0
84	The pre made contracts and forms are a blessing in disguise They are certainly very useful to get you going and give you an idea of what you may need	5.0
85	Before reading on please note that the newer updated version 2012 is now available for less nbsp a data hook product link linked class a link normal href Quicken Legal	4.0
86	Quicken Legal Business Pro 2011 is meant for owners of small to medium businesses However it contains a large amount of information that makes it handy to non business owners	5.0
87	Nolo does an excellent job in bringing together over 100 contracts forms From buying goods to selling goods they have you covered More importantly the type of business type you	5.0
88	This software is great for many different things Anywhere from buying a house without an agent to starting your own business This software also provides forms and contracts that you	5.0
89	Ive had this software for about 6 months now And although I havent officially used any of the forms yet I find this software to be really good reference material	5.0
90	This software is great It has a large selection of business legal forms ready for you to complete and customize It is so easy to use You dont have to	5.0
91	If you are planning on starting a small home based or small office business this software guide would be a nice tool for you to use however be aware that	3.0
92	The Quicken Legal Business Pro book and application is a terrific addition to my business software arsenal Full of useful information and a comprehensive collection of highly useable legal forms	5.0
93	This is a pretty good piece of software if youre a small company looking to save some money on legal documents Lawyers can cost an arm and a leg and	5.0
94	This program is ideal for the small business owner and home based business It uses a simple question and answer format using a combination of questions drop downs and menu	5.0
95	Received the order fast and it works on snow leppord Installed on my MacBook pro in a matter of minutes Packaging was like new National geographic rocks and is faster	5.0
96	The Complete National Geographic is a massive collection of every issue from 1888 2008 That means 120 years of one of the worlds most amazing magazines all digitized and capable	3.0
97	National Geographic is one of the items that is part of the fabric of our lives Every one of us from somewhere remembers reading them as a child Pictures of	5.0
98	Theres so much history in here120 years in a package you can hold in your hands complete with photographs advertising everything What a great concept Yes it has install issues	5.0
99	All the National Geographics together and easily searched I made the mistake of buying direct from NG but even with a discount it was more than on Amazon	5.0
100	As of December 2009 there are definitely ways to copy the DVDs to a hard drive so that the DVDs are not required to use the program If you install	5.0
101	Im going to order this so this review isnt about the main product One of the things genealogists do is not simply looking up names birthdates marriage dates etc To	5.0
102	Easy to use I like that you can use it on your computer but also learn more by transferring lessons to your iPod and learning while on the go I	3.0
103	This system is helpful for both beginners and advanced students It is as good as other systems that cost you much more I think that Spanish should be learned by	4.0
104	I dont think this is a program that will really teach someone a whole language despite its stated advertisement to that effect I do think this is a good program	3.0
105	Its kind of a fun program My boys 3 5 love computer games and to them this is something of a game The vocabulary lessons are presented in a manner	4.0
106	Instant Immersion Spanish is a good place to start learning Spanish The cost alone makes it a nearly risk free purchase Will it make you fluent No it wont but	4.0
107	Before ordering this product directly from Amazon I did my homework by posting comments in the comments sections of the most popular Amazon reviewers who have purchased and reviewed this	4.0
108	This is a slow and tedious way to learn a language and I am running on Win7 with an i7 processor and 8 gigs of memory so it is the	1.0
109	I found Instant Immersion to be ok I mean its no Rosetta Stone but of course Rosetta Stone costs HUNDREDS of dollars so this is a GREAT value for what	4.0
110	I wanted an easy way to learn spanish so that I could talk to my neighbors and some co workers who prefer to speak spanish but there wasnt any way	3.0
111	This is a fairly typical learn by listening language system Its not bad but it doesnt bring anything new to the table There are very few people who can successfully	3.0
112	I was thrilled to see Amazon present these as I had wanted the Rosetta Stone version for years Since I never used Rosetta stone I cant compare but I will	3.0
113	I understand that there is a tendency to continue producing what a company thinks work Learning a new language or brushing up on your existing skill is tricky business I	3.0
114	Takes a bit for slower computers to kick up the CD ROM drive Id suggest loading this on you HD if possible seems OK on computer with faster processor and	4.0
115	I dont think theres much I can add to the other reviewers here theres lots of vocab but not a lot of grammar The option to listen to vocab lists	4.0
116	I have used Instant Immersion Spanish Levels 12 3 for several months now and it is a complete Spanish language program that can teach basic words and conversational Spanish but	3.0
117	I like this langauge learning system MUCH better than other ones Ive tried such as Fluenz I have not tried Rosetta Stone too expensive likes colorful clickable graphics menu system	4.0
118	I have wanted to learn Spanish as a second language for years I have used tapes CDs and software but I always found them boring and I didnt stick with	4.0
119	If you want a good introduction to the Spanish language I think this program would be helpful to you It would also be a good companion product if you were	4.0
120	In my line of work its a great idea to learn another language and Spanish being the main lingo outside of English in my area the Instant Immersion program seemed	2.0
121	The Encyclopedia Britannica 2011 Ultimate Edition formerly Student and Home Edition builds on the success of its completely revamped previous editions in 2006 10 The rate of innovation in the	5.0
122	I installed the software on both Mac 1064 and Win 7 machines and it works well Recommended	4.0
123	I loved this game Of course it didnt have all of the amazing features the others have I bought it so along ago that it doesnt play on windows xp	5.0
124	You as Nancy Drew are asked to stay at your Aunt Eloises house to solve a murder Who killed Jake Rogers In this small Florida town you will meet four	4.0
125	Ok Secrets Can Kill was a good game dont get me wrong The graphics are okay but the people look like cartoon characters I beat SCK and it was easy	4.0
126	If youre going to get an ND Nancy Drew game at all dont get this one at least not until youre done with all the other ones Because this is	2.0
127	I have now played all 3 of the Nancy Drew mystery games that are available as I type this This one Secrets Can Kill was my least favorite In all	4.0
128	I couldnt wait to ditch the Windows ME that came on my new PC I had plenty of RAM you need at least 64 MB and in my opinion that	4.0
129	Stay Tuned for Danger is the follow up Nancy Drew game to the award winning Secrets Can Kill While Stay Tuned for Danger still leaves quite a lot to be	2.0
130	NOTE I am posting this review on both product pages for this game since Amazon has the same game listed as two different products After getting stuck on this game	4.0
131	Here you are again as Nancy Drew now solving another mystery Why is Rick Arlen the soap opera star of Light of Our Love receiving these horribe death threats And	5.0
132	Stay Tuned for Danger is once again a Nancy Drew game I beat I love it I mean this game pulls you inThere are so many suspects and one minute	5.0
133	I have used just about every version of Windows These are my observations 1 Windows 98 Windows 98 was easy on the memory hogging a v pizazz but where Windows	5.0
134	As a registered OEM system builder with Microsoft I was invited and attended the introduction of W2000 Pro A lot of Microsoft staff was there One quick note is that	5.0
135	This Nancy Drew game was a HUGE step from the previous one The graphics were much better and you didnt have to switch between 2 CDs Theres only one this	3.0
136	I love the Microsoft Windows 2000 Professional I think it manages all the things I have to do and it does it perfectally well If you have a Pentium 4	5.0
137	The year is nearly 2004 and I am still using Windows 2000 I used to be an NT 4 user but 2000 has to be the most solid Windows OS	5.0
138	The amount of BSODs have all but disappeared If you have a laptop you cant go wrong with this NT on a laptop was a nightmare but this is a	5.0
139	Excellent OS Very stable I have a copy running non stop for 15 years with no reboots i will be rebooting it soon so i can do all the latest	5.0
140	It is refreshing to have a game show up in the industry that seems sold out to blood and gore that is purely fun entertainment In the orginal tradition with	5.0
141	This is the second game in the Nancy Drew software series that Ive tried Ive also played Message In a Haunted Mansion and this was by far the more difficult	5.0
142	When deciding on an operating system OS several factors come into play Will this OS be intalled onto a laptop or desktop Is it networked Will I use this for	4.0
143	It is worst piece of crap I ever had to install As a systems programmer I can tell you that this OS is defintly not stable enough I installed the	1.0
144	I got tired of the Win98 crashes so decided to buy and install this I do web design for a living and so am commonly running a web server locally	4.0
145	I bought this program 25 years ago and have been using it to create plots for novels short stories etc Versions 2 and 3 were tedious and full of technical	5.0
146	Ive been a user of Dramatica since earlier versions And while I find Dramatica has some good points I find that there are some parts of this application that are	3.0
147	I was just looking for formatting software when I came across Dramatica Pro and decided it was worth a closer look I found the demo for the program at write	4.0
148	Having worked with and studied the Dramatica theory of story development and also looked at and read a few of the examples it is based on it seems to me	5.0
149	Dramatica is a way to organise your thoughts about theme plot theme and characters into a story form as opposed to something that isnt Using its own terminology allied to	5.0
150	This is a great extension to the Windows 98 line of operating systems Unfortunately it is also the last in that line The flexibility of having a modern operating system	5.0
151	I have this OS on an old laptop and it is truly madning Crashes like theres no tommorw Security holes the size of the ozone Windows 95 98 were good	1.0
152	Windows Me is basically Windows 98 with a fancy new name to allude to the year it was released 2000 it was just some PR stunt As with Windows 98	1.0
153	I program computers and we had number of compatibility problems with this OS MS dropped much of good old DDE causing number of shell application to crash including number of	1.0
154	it was invented Windows ME came with my new machine a P1500 with 128 Megs of RAM When the machine is turned on it loads at lightning speed Its all	1.0
155	Finally A really fun exciting game for girls that DOESNT come in a pink box for heavens sake As a video game fan growing up in the 80s I noticed	5.0
156	This is an old Nancy Drew game But Ive learned not to pre judge the older games its the plot and puzzles that drive these games not the graphics That	4.0
157	I think this game is when the company really got into its groove The first two were fun dont get me wrong but its with this one that we really	5.0
158	Message in a Haunted Mansion is the third Nancy Drew game and far superior compared to the first two This game sets the standard to what the majority of Nancy	5.0
159	After success with the first two games in the Nancy Drew adventure game series the creators tried to step up the suspense with a scarier mystery In Message in a	4.0
160	Message is the first Nancy Drew Pc game that I have tried and I was very favorably impressed The game is literate it is not directed towards very young players	5.0
161	Yet another great Nancy Drew game In Message in a Haunted Mansion Nancy is hired to help renovate an old victorian house as the owners are hoping to turn it	5.0
162	Message in a Haunted Mansion is the 3rd Nancy Drew game of the series I beat it also and I love it because it is kinda scary You hear noises	5.0
163	The other reviewers have talked about the quality gameplay Ill talk about how to play it as an adult with a 6 year old Write down the clues yourself showing	5.0
164	This was the first Nancy Drew game I played I played it with my older sister and it took us 7 days to complete it It freaked me out several	4.0
165	Message in a Haunted Mansion was my second Nancy Drew game my first was The Final Scene The graphics are beautiful with numerous little details that really made the Victorian	4.0
166	I am very satisfied with the purchase of this wireless router The setup took just a few minutes to complete the setup wizard and after that everything worked from the	5.0
167	Need to network computers on different floors This product can be used as a bridge or as an interface for an individual machine All I had to do was take	5.0
168	You cant go wrong with this device Its the only hub I have that operates solely on power supplied by the PC Plug it in and go Its that easy	5.0
169	I thought this to be very inexpensive for all that we got Great for the you boys for their computer center in our home school	5.0
170	very good computer the intel Dual Core i3 2120 33GHz CPU 4GB DDR3 RAM 500GB HDD configuration is good enough for light use The price is amazing	5.0
174	It covers screen barely on sides Falls bit short on top n bottom too It may look like large size guy wearing medium size pants Display is amazingly sharp stunning	5.0
176	I have been using this for over a month It is very fast and starts up quickly and screen is especially pleasing to the eye	5.0
177	Delivered on time and product was exactly as described Would buy from this vendor again Thank You	5.0
179	Took a whole to get here but it works well and seems to be well constructed Connected mine to a M2 bullet	5.0
184	Unit came used but in fine condition Seems to be working well I have not tried any advanced functionality as I just got a null modem cable to get into	5.0
186	Great price from a company that also provides massive amounts of help for all your communication needs	5.0
187	I have had this for years it works great no power sag	5.0
191	It has worked for us reliably and we don have any complaint with its functioning Besides this switch offers a lightweight and reduced dimensions that allows to easily locate it	5.0
197	OK here is the deal I got this 2 in 1 i5core 6GB 1TB hard drive machine on Christmas eve 2015 and it was unbelievably slow I had to wait	5.0
198	NICE PRICE AND JUST LIKE THE ONE MY PHONE COMPANY WANTED 10000 FOR AND IT WORKS FINE	5.0
202	With this Qnap you get a lot for your money Inexpensive PLEX support decent app and options to choose from Has good performance as a home or small business NAS	5.0
204	I give it a 5 star because it did increase range Not significantly but just enough to reach the distance I needed Worth the ROI IMO Soon I will replace	5.0
205	Super for home or business networks In addition to this eight port I also have the 16 port that i run my office with The design and mounting of these	5.0
207	The Netgear ProSAFE 8 port Gigabit Click Switch is a office space networking game changer The unique office friendly design with integrated mounting and cable management are stand out differentiators	5.0
208	Item came quickly exactly as described and a great price Way cheaper from this seller than other places online Easy to add modules makes this switch extremely flexible and future	5.0
209	Perfect for my needs I used this cable to extend from an amp to the antenna	5.0
211	This unit is much faster and more powerful that Trendnets other access points but it comes at about double the price I had tested two of the TEW 653AP that	5.0
219	anyone knows that can i buy two of this one as hca the other as tca	5.0
224	Works well for PCs that are not equipped with Bluetooth Plug Play on Windows products	5.0
225	Older laptop with a dial up modem need the upgrade works great	5.0
228	21 Mbpbs with T Mobile 3G need to tape pin 20 and flash Thinkpad with non whitelist bios I also want to test it under MAC OSX it has driver	5.0
229	Not too many users will have a need for a Power Over Ethernet Injector but if you do The price to usefulness quality ratio of this Poe is definitely worth	5.0
230	This card is great for ESXi If a person wanted to they can pass each individual port through to a different VM as this card uses a PLX PCI Express	5.0
231	perfect product worked as stated basically no set up just open box and go Looks well constructed Would recommend product to others	5.0
232	Professional design for tablet android IOS Inner 2000mAh Li on battery emergency power charge for your phone Built in 2000mAh Li ion lasting power supply Complete charging for iphone And	5.0
233	Thank you for a product well suited for small business requirement at a price that is beyond belief This switch has been in opperation for more than 4 years and	5.0
234	This switch is perfect for desk use with its Classy Transparent design It is a simple setup and I have never had a problem with the functionality of this switch	5.0
235	My old one failed to work after continuously working for 4 years Unfortunately the company behind this product can no longer be found Luckily I found this one as a	5.0
236	Small completely portable inexpensive and best of all WORKS GREAT and BETTER than expected Im using this in my RV to take advantage of the public WiFi So glad I	5.0
237	Bought this hotspot for a hotel guest wireless system and it did the job right Antenna was a little weak but the features were great	5.0
238	Weve all read the technology blurbs Fax is Dead This is not true Many business offices like real estate still use fax So what if one doesnt want a big	5.0
239	I am particularly pleased that this device comes with 2 sizes of bracket It was easy to exchange the high profile bracket for the low profile one I need The	5.0
240	Good product Five stars means I had no issues with shipping or the product It met my expectations and was as listed	5.0
241	This isnt just a 5 port metal sheathed battleship of switching goodness its also a networking IT guys secret weapon This Gigabit switch and its larger ProSafe Plus kin has	5.0
242	This product was researched by a co worker for an application we needed I was looking for a place to purchase This price was 2000 less than any place I	5.0
243	works and our AV guys love it people show up with laptops and need to connect plus you can have a secondary monitor as an output we use it for	5.0
244	It was amazingly easy to set up for a person like me who knows nearly nothing about computer networks I was expecting a painful experience and a need to call	5.0
245	Installed in 4 different computer workstations all worked without issues Highly recommend for all windows O S systems and the price is hard to beat	5.0
246	This brand is one of the best on the market I got this hooked up and running astonishing speed throughout my house in all rooms Nothing beats this	5.0
247	I used this on one of my older laptops to sync my Bluetooth mouse and it works perfectly the only thing I complain about is that it doesnt work with	5.0
248	There are a ton of digital media streaming devices out right now and a lot of them claim they work for digital signage They dont This one does You plug	5.0
249	I have spent hundreds of dollars and dozens of hours messing around with digital media players trying to create a Digital Sign Until I found the DSS media player it	5.0
250	I bought this gadget to be able to detect and avoid wifi as wifi gives me headaches nausea and heart disturbances I carry this in my purse and it is	5.0
251	This is an old model but I have two of them which were both purchased used The first has been in service for several years now without a single complaint	5.0
252	no problems easy way to update my sony bravia that is 60 feet from my modem router i can even watch netflix with no issues	5.0
253	Loved this thing i went thru so many external 56k modems on my laptop with dial up internet kept pulling the wires out of it This thing solved everything Highly	5.0
254	The install was easy it comes with a disc and its fairly good price for the item These serial ports were standard on PCs in days gone by Nobody really	5.0
255	I have used this to put all my papers business cardspower cords and my Microsoft Surface It is perfect for visiting clients	5.0
256	I needed a Wireless N PCMCIA adapter for my older laptop There are not many low price adapters on the market so I went ahead and ordered this one It	5.0
257	Ive had no issues with this hub It does exactly what I needed it for at a good price I would highly recommend this to anyone needing to expand their	5.0
258	As expected Ive used lots of switches over the years and this one is every bit as good as the inexpensive ones from Micro center	5.0
259	This product is excelent i receeived in justig time all OK In this case all is excelent For what more words you haave more time	5.0
260	I get free wifi from the library across the street and download bit torrents all day with this thinggreat deal	5.0
261	I stress tested this product by purchasing 1000 ft of CAT5e stranded UTP cable and connecting both ends using RJ 11 connectors and just one pair of copper conductor Although	5.0
262	pluged into my second pc other office presto internet easy simple i love easy and simple would recomend it to a freind	5.0
263	Geart deal quick shipping and it works great All you do is plug it into your PC and follow the instructions Well worth the price and the shippng was fast	5.0
264	I CAN FINALLY GET RID OF MY USB STRAINER COMBO OUT OF MY WINDOWTHE SIGNALS I GOT BEFORE WERE 1 2 BARS NOW THOSE ARE 4 5 AND I HAVE	5.0
265	I was surprised that this product worked The product is compatible with Dells Optiplex 320 I have been using the product 24 7 and the product continues to work well	5.0
266	Arrived quickly was exactly as described and seems very reliable The driver uploaded very quickly It works as described and is very competitive price wise	5.0
267	This product is an excellent low cost for great product We have used it many times on numerous jobs recommend it highly	5.0
268	Using a MX846 to upgrade my Dell Vostro gave it new life Download and install the driver from Dell before you install the chip Super easy if you are not	5.0
269	Better than average quite well as a matter of fact Still running after 2 years Good range also XP users be advised to have at least Service Pack 2 or	5.0
270	Overview This is a great array for someone looking to expand their home storage network or possibly someone with a SOHO setup that needs plenty of storage I used this	5.0
271	div id video block R1VI2UBHESJZRN class a section a spacing small a spacing top mini video block div input type hidden name value https images nassl images amazoncom images I	5.0
272	We have 2 of these as our backbone for our 70 machine office They are a bit noisy but their performance is perfect Main points Does not need to be	5.0
273	I needed some simple switches not too long ago to place in low volume traffic areas A prime concern was price and these fit the bill quite nicely Although there	5.0
274	This USB hub works just fine and I love the design I have never liked the solidly built hubs because when you have several items coming in from different angles	5.0
275	I used this item in an older laptop that had only wireless G It is a perfect upgrade due to the super small form factor It does tie up a	5.0
276	I have bought two or three of these for myself and friends They work really good and seem to have better reception than other bluetooth adapters that I have used	5.0
277	Simple set up expandable and flexible For the price and performance this unit is a solid value QNAP offers a fantastic UI and Linux based stability for an blended Linux	5.0
278	Great service great product It does everything I need it to Arrived in good time and price was right good deal	5.0
279	This switch has a built in TDR For those of you that dont know that is the method used to find faults in cables If you have broken or shorted	5.0
280	I have owned this NAS for almost a year now and actually purchased a second one It works flawlessly and QNAP live tech support is superb There is also a	5.0
281	This router works like a charm and I cannot get my hands off this one I needed a router to practice for my CCNA and CCNP and decided to look	5.0
282	I was looking for a way to connect multiple devices to my Yaesu FT 897 Amateur Radio I had 3 devices that needed access to the 1 socket in the	5.0
283	Product is excellent Priced fairly and arrived less than three days after purchase Worked very well considering that it was different from the hardrive adapter that originally accompanied the unit	5.0
284	I bought this to watch my 2 kittys while I am out for work I check them on my iphone periodically The image is good enough to meet my need	5.0
285	I purchased this router looking for power with stable software It has provided me with both Range is excellent and the software is able to do everything I need I	5.0
286	Works well on my 64 bit Windows 7 Pro machine Installation was a breeze and it has no problems connecting to my router in another room The software it comes	5.0
287	I am using this antenna with a pair of Linksys WAP54G wireless APs one acting as a repeater The main unit has a 1 watt amplifier hooked to this antenna	5.0
288	I can hardly believe broadband has not covered the US yet and so many still have to suffer with dialup In the meantime this is the way to go with	5.0
289	Excellent product made our small company much more efficient I would recommend this product to anyone who has a slow network Trust me	5.0
290	I researched reviews tech specs drives for the last two years before I settled on this product QNAP has one of the best reputations in the industry for quality and	5.0
291	This is a fine replacement for a Broadcom wifi adapter in a laptop Its connects faster and the speed is very quick	5.0
292	I own a prior NAS from QNAP a TS409 purchased about 2 years ago I have had little to no problems with the NAS device and when I did have	5.0
293	outstanding product if you are having trouble connecting to the internet with a weak signal for wireless use this is the product the one problem Mac has with the Mac	5.0
294	I am using this to monitor temperature in a data center The readings are accurate and the email alarms give just enough information without bombarding me with too much information	5.0
295	I have enjoyed the Netgear a lot I have had it for a year but just put it into action last month	5.0
296	Did my homework on these network through your household wiring things and was skeptical Found reviews of the Corinex HomeNet Powerline HD200 adapters found lots of either one star or	5.0
297	Two of these switches replaced two Linksys switches that continually needed to be re booted The two Asante switches worked flawlessly for day one When I had a question I	5.0
298	Attached the antenna to a linksys pci card Increased a weak and unstable 2 bar signal to a rock solid 5 bar between two buildings about 250 ft apart Can	5.0
299	Easy to order and check out Great item and price Shipping quick as expected Thanks very professional	5.0
300	Works like a charm I hooked up the ethernet cables plugged in the units automatically connected to one another and my DirecTV receiver connected to the internet I was amazed	5.0
301	I used two of these to WDS bridge two Asus wl 520gu routers together and it worked great Very stable connection if using Tomato firmware with transmit power set to	5.0
302	This product is just as described and on testing performs as I had hoped it would I am still in the set up and testing phase after receiving the ET	5.0
303	Once my IT expert set it up the NAS has run flawlessly Good peace of mine We have not expanded it to 4 TB because we do video Large files	5.0
